version,size,errorCorrection,dataBits,numeric,alphanumeric,binary,alignment,blocks,eccSymbolsPerBlock
31,141,L,14744,4417,2677,1840,,16,30
31,141,M,11640,3486,2113,1452,,31,28
31,141,Q,8264,2473,1499,1030,,43,30
31,141,H,6344,1897,1150,790,,51,30
32,145,L,15640,4686,2840,1952,,17,30
32,145,M,12328,3693,2238,1538,,33,28
32,145,Q,8920,2670,1618,1112,,45,30
32,145,H,6760,2022,1226,842,,54,30
33,149,L,16568,4965,3009,2068,,18,30
33,149,M,13048,3909,2369,1628,,35,28
33,149,Q,9368,2805,1700,1168,,48,30
33,149,H,7208,2157,1307,898,,57,30
34,153,L,17528,5253,3183,2188,,19,30
34,153,M,13800,4134,2506,1722,,37,28
34,153,Q,9848,2949,1787,1228,,51,30
34,153,H,7688,2301,1394,958,,60,30
35,157,L,18448,5529,3351,2303,,19,30
35,157,M,14496,4343,2632,1809,,38,28
35,157,Q,10288,3081,1867,1283,,53,30
35,157,H,7888,2361,1431,983,,63,30
36,161,L,19472,5836,3537,2431,,20,30
36,161,M,15312,4588,2780,1911,,40,28
36,161,Q,10832,3244,1966,1351,,56,30
36,161,H,8432,2524,1530,1051,,66,30
37,165,L,20528,6153,3729,2563,,21,30
37,165,M,15936,4775,2894,1989,,43,28
37,165,Q,11408,3417,2071,1423,,59,30
37,165,H,8768,2625,1591,1093,,70,30
38,169,L,21616,6479,3927,2699,,22,30
38,169,M,16816,5039,3054,2099,,45,28
38,169,Q,12016,3599,2181,1499,,62,30
38,169,H,9136,2735,1658,1139,,74,30
39,173,L,22496,6743,4087,2809,,24,30
39,173,M,17728,5313,3220,2213,,47,28
39,173,Q,12656,3791,2298,1579,,65,30
39,173,H,9776,2927,1774,1219,,77,30
40,177,L,23648,7089,4296,2953,,25,30
40,177,M,18672,5596,3391,2331,,49,28
40,177,Q,13328,3993,2420,1663,,68,30
40,177,H,10208,3057,1852,1273,,81,30
